SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,BASTIONES PRI,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
5333,3,392,208,53,34,63,17,19,388,FALSO,32,38,9,2,0,0,6,1,1,4,1267,0,20,1287,1677,16%
5334,4,596,318,72,63,88,49,25,645,FALSO,50,78,14,1,1,0,14,2,0,9,2025,0,55,2080,2780,15%
5335,8,984,568,127,154,113,69,61,1255,FALSO,94,124,20,6,4,0,31,11,1,12,3634,2,83,3719,5358,15%
5336,4,484,360,111,67,50,27,34,590,FALSO,46,55,10,2,0,0,11,3,0,2,1852,1,53,1906,2701,19%
5337,5,445,380,79,71,56,31,36,794,FALSO,43,62,9,3,0,0,21,2,1,5,2038,0,69,2107,3317,18%
5338,3,274,261,46,54,48,28,25,497,FALSO,30,35,6,0,0,0,10,6,0,0,1320,0,37,1357,1992,19%
5339,4,326,331,66,60,45,26,34,607,FALSO,37,44,3,10,0,0,11,3,0,3,1606,2,37,1645,2430,20%
5340,3,304,143,38,50,16,10,22,395,FALSO,25,39,8,0,0,0,10,4,1,2,1067,0,21,1088,1531,13%
5341,3,416,189,55,47,34,38,21,501,FALSO,27,65,6,3,0,0,11,3,0,0,1416,2,26,1444,1939,13%
5342,3,394,243,50,62,35,36,22,540,FALSO,30,54,6,2,0,0,19,3,2,4,1502,0,51,1553,2150,16%
5343,4,407,336,60,70,62,44,37,734,FALSO,47,79,5,1,2,0,20,4,1,3,1912,3,60,1975,2873,17%
5344,2,222,162,48,38,24,11,20,328,FALSO,19,32,3,1,0,0,7,0,3,3,921,1,24,946,1371,17%
5345,6,875,448,78,119,90,55,49,957,FALSO,51,116,15,1,2,0,28,4,2,3,2893,1,72,2966,4096,15%
5346,4,778,346,67,88,44,43,42,652,FALSO,35,85,10,6,1,0,17,3,0,1,2218,1,39,2258,2943,15%
5347,4,487,262,86,69,57,45,23,617,FALSO,33,72,6,4,0,0,9,2,1,2,1775,1,39,1815,2376,14%
5348,4,553,319,56,60,58,42,28,700,FALSO,37,76,15,2,0,0,17,5,1,8,1977,3,51,2031,2779,16%
5349,9,1042,684,157,136,156,90,77,1410,FALSO,81,151,10,2,3,0,29,9,0,4,4041,3,117,4161,6230,16%
5350,10,1248,702,214,157,210,105,81,1735,FALSO,98,159,22,8,0,2,40,20,1,7,4809,3,115,4927,6977,14%
5351,5,628,386,127,81,94,43,53,907,FALSO,39,118,19,5,0,0,33,8,0,5,2546,1,71,2618,3449,15%
5352,2,118,99,21,14,25,11,20,227,FALSO,13,15,1,0,0,0,0,0,0,1,565,0,12,577,770,17%
5353,2,220,158,26,40,23,12,19,343,FALSO,14,31,0,1,0,0,12,3,0,1,903,1,28,932,1188,17%
