SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PARTICIPACIÓN,% PRI
5401,5,5,142,674,21,82,40,189,1024,FALSO,16,0,20,0,0,0,14,3,0,1,0,0,49,0,15,6,2296,1,74,2371,3672,65%,28%
5402,3,3,83,221,5,81,48,136,671,FALSO,15,0,15,0,0,0,3,0,0,0,0,0,48,1,15,7,1349,0,44,1393,2057,68%,16%
5403,5,5,138,371,18,96,54,239,1254,FALSO,24,0,11,1,0,0,5,0,0,0,1,0,56,3,21,4,2296,0,48,2344,3324,71%,16%
5404,6,6,95,441,17,116,35,165,955,FALSO,11,4,8,4,0,0,14,0,0,0,0,0,44,11,11,15,1946,2,57,2005,4391,46%,22%
5405,5,5,131,429,9,109,32,227,1058,FALSO,20,6,4,1,0,0,7,2,0,0,0,0,56,4,20,18,2133,3,50,2186,3299,66%,20%
5406,5,5,116,352,9,153,54,172,1023,FALSO,19,2,9,0,0,0,7,0,0,0,0,0,70,3,17,6,2012,4,62,2078,3180,65%,17%
5407,5,5,103,318,17,117,49,179,1056,FALSO,12,1,10,0,0,0,5,0,0,3,0,0,46,1,19,7,1943,1,51,1995,3130,64%,16%
5408,4,4,117,352,14,122,39,199,945,FALSO,15,1,14,0,0,0,6,0,0,0,0,10,25,0,10,2,1871,4,70,1945,2877,68%,18%
5409,4,4,56,210,8,132,43,121,796,FALSO,14,11,10,11,7,11,12,11,11,11,11,11,98,12,16,5,1628,19,62,1709,2543,67%,12%
5410,8,8,162,542,15,156,70,293,1607,FALSO,25,3,12,1,0,0,9,0,0,0,1,0,103,11,33,19,3062,4,62,3128,5335,59%,17%
5411,5,5,111,340,14,103,26,132,1004,FALSO,9,1,10,0,2,0,3,0,2,0,0,0,47,16,12,12,1844,9,46,1899,3205,59%,18%
5412,6,6,125,297,14,114,41,199,1217,FALSO,18,3,6,0,1,0,7,0,0,0,0,14,43,3,30,16,2148,9,51,2208,3849,57%,13%
5413,2,2,39,97,6,52,13,50,386,FALSO,10,1,8,0,0,0,1,0,0,1,0,0,23,1,2,2,692,0,11,703,1117,63%,14%
