SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
6453,1,9,172,4,8,7,5,94,1,16,2,1,2,1,0,0,0,0,0,0,322,0,17,339,570,51%
6454,1,69,94,5,11,5,24,105,4,3,2,1,5,1,0,0,0,0,0,1,330,2,10,342,573,27%
6455,2,100,170,6,32,8,17,192,11,8,6,7,5,1,0,0,1,0,0,0,564,2,20,586,950,29%
6456,2,113,156,3,11,15,24,193,11,4,9,7,3,1,0,0,1,1,0,0,552,0,18,570,940,27%
6457,1,44,84,1,9,5,15,133,3,3,6,4,3,0,0,0,2,0,0,0,312,0,10,322,554,26%
6458,1,71,104,3,14,3,12,114,6,11,4,3,5,0,0,0,0,2,0,0,352,0,3,355,580,29%
6459,2,99,162,8,17,7,20,155,8,8,13,3,4,2,0,0,0,1,0,0,507,1,20,528,880,31%
6460,2,57,129,5,20,5,21,211,6,9,9,2,4,1,0,0,1,0,0,1,481,0,20,501,996,26%
6461,1,69,136,6,18,9,20,114,7,4,3,2,11,0,0,0,0,0,0,0,399,1,16,416,644,33%
6462,2,79,135,0,18,6,15,162,5,4,10,1,8,1,0,0,2,2,1,0,449,1,6,456,768,30%
6516,2,18,48,1,10,5,9,116,2,2,4,3,2,1,0,0,0,2,0,0,223,0,5,228,1237,21%
TOTAL,,"46,252","109,608","4,239","12,914","6,841","8,775","132,801.00","9,303.00","5,976.00","6,714.00","4,102.00",3253,977,99,111,,,,,,,,"362,730.00","675,652.00",
% DEL VOTO,,,30.22%,,,,,36.61%,,,,,,,,,,,,,,,,,,
% LISTA NOMINAL,,,16.22%,,,,,19.66%,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,
